ID,Name,Cuisines,Address,City,Rating,Rating_text,Votes,Price Range,Online Delivery,Table Booking,Average Cost for Two,Photo_urls,Menu_urls
1972,2553,1033,112,26,29,1,865,0,0,0,47,484,484
1963,665,1406,8553,26,27,5,993,3,0,0,92,478,478
1964,4805,1534,320,26,26,5,635,1,1,1,67,491,491
1980,4840,252,2077,26,21,2,825,1,1,0,68,493,493
1977,4805,1534,7078,26,27,5,576,1,1,1,67,490,490
8301,7337,399,3114,26,25,5,191,0,1,0,54,496,496
1968,3353,1087,1157,26,23,5,910,2,1,1,81,486,486
1975,1677,371,2310,26,24,5,745,2,0,0,73,482,482
1970,4825,650,1222,26,27,5,864,1,1,1,65,492,492
1967,3654,802,2544,26,26,5,882,2,1,1,75,487,487
4278,7213,1034,1751,70,26,5,712,2,0,0,71,1083,1083
4268,665,1311,2113,70,30,1,767,3,0,0,84,1065,1065
4276,6030,1378,3461,70,25,5,605,2,0,0,75,9379,9379
4271,5431,1527,1859,70,25,5,649,2,0,0,73,1077,1077
4275,6524,345,277,70,24,5,288,1,0,0,50,1078,1078
4272,2711,1291,6419,70,32,1,763,0,0,0,43,1072,1072
4285,657,367,2158,70,23,5,79,2,0,0,71,1064,1064
4281,7080,1207,2369,70,26,5,124,2,0,0,77,1082,1082
4273,1899,1279,8762,70,27,5,679,1,0,0,50,1069,1069
4279,3651,1438,648,70,25,5,149,3,0,0,92,1074,1074
4280,6537,433,1766,70,24,5,165,1,0,0,50,1079,1079
4277,1733,1525,2087,70,25,5,404,2,0,0,71,1068,1068
4274,1281,401,409,70,23,5,544,1,0,0,63,1066,1066
4269,4903,722,1123,70,20,2,490,2,0,0,71,1076,1076
7607,2490,421,5699,70,26,5,106,1,0,0,54,1070,1070
4282,2532,775,115,70,28,1,144,0,0,0,32,1071,1071
6741,2962,401,1124,70,22,2,217,1,0,0,54,1073,1073
7847,6771,793,93,70,24,5,80,2,0,0,71,1080,1080
4270,6874,1406,5620,70,22,2,268,2,0,0,73,1081,1081
4283,1461,372,2429,70,18,2,147,1,0,0,62,1067,1067
4289,1080,380,5472,63,27,5,333,1,1,0,63,1001,1001
4290,4842,1163,4721,63,26,5,622,1,0,0,68,1013,1013
4292,6972,332,6770,63,23,5,400,0,0,0,50,1016,1016
1999,3425,801,3994,63,25,5,584,1,0,0,61,1009,1009
2002,1715,1110,993,63,26,5,583,2,0,0,71,1004,1004
4291,5920,838,6326,63,23,5,246,0,1,0,50,1014,1014
2000,2706,1495,5319,63,25,5,390,2,0,0,71,1007,1007
2001,886,347,7279,63,25,5,463,1,1,0,62,1000,1000
4298,4404,604,6613,63,20,2,145,2,1,0,71,1010,1010
4286,2497,649,3002,63,26,5,312,1,0,0,63,1006,1006
4294,1344,380,3520,63,23,5,160,1,0,0,66,1002,1002
4293,4490,1673,6603,63,29,1,289,2,0,0,71,1011,1011
4296,122,580,1904,63,25,5,146,1,0,0,62,997,997
4297,4802,1159,8832,63,20,2,105,1,0,0,59,1012,1012
2003,1612,510,6322,63,20,2,277,1,0,0,66,1003,1003
4287,258,1162,6217,63,18,2,347,0,0,0,50,998,998
2004,3113,1157,5914,63,21,2,281,0,0,0,47,1008,1008
4295,665,824,2758,63,28,1,213,2,0,0,81,999,999
2005,2036,1157,6412,63,27,5,587,1,1,0,61,1005,1005
4288,6403,1161,6794,63,19,2,359,1,0,0,61,1015,1015
2017,881,1445,5608,59,22,2,595,2,0,0,85,915,915
2012,6610,711,4528,59,23,5,724,2,0,0,88,932,932
2026,7237,699,1810,59,23,5,212,2,0,0,71,933,933
2014,6325,415,3809,59,30,1,853,1,1,0,65,930,930
2028,4130,1277,1517,59,22,2,67,2,0,0,81,922,922
2013,5330,1415,7325,59,26,5,782,2,0,0,81,928,928
2025,4407,462,18,59,25,5,198,1,1,0,62,924,924
2015,4716,1057,4555,59,27,5,689,2,1,0,77,927,927
2022,1148,459,5504,59,26,5,670,1,1,0,66,916,916
2018,4012,1044,176,59,23,5,541,2,1,0,79,921,921
2027,4655,626,4012,59,24,5,148,1,0,0,63,926,926
5958,7442,1036,5602,59,32,1,322,3,1,0,92,934,934
2021,1919,413,1909,59,22,2,310,2,1,0,75,920,920
2024,1271,717,6424,59,20,2,112,1,1,0,66,917,917
9026,5911,1418,1923,59,9,0,46,2,0,0,71,929,929
2019,4276,1350,5593,59,28,1,413,3,0,0,95,923,923
2016,6329,437,1050,59,25,5,571,2,1,0,71,931,931
2020,1376,499,5593,59,26,5,308,3,0,0,98,918,918
2011,1643,1651,4291,59,26,5,855,2,0,0,84,919,919
2023,4577,427,3679,59,27,5,385,1,1,0,65,925,925
5777,4229,375,2621,2,27,5,731,2,1,0,71,99,99
8754,889,1333,261,2,21,2,63,2,1,0,71,89,89
8753,3670,1636,7664,2,27,5,113,1,1,0,55,96,96
7956,3041,991,2764,2,28,1,217,0,1,0,43,94,94
2034,7352,689,2144,2,24,5,758,2,0,0,75,107,107
6977,969,1339,3541,2,26,5,325,2,0,0,68,90,90
2038,5068,1067,200,2,26,5,637,1,1,0,63,102,102
2036,4600,1410,402,2,28,1,788,2,1,0,69,9070,9070
2040,85,1433,6881,2,24,5,655,2,0,0,66,97,97
2037,2486,1637,5415,2,26,5,630,2,1,0,68,93,93
7529,4089,334,1522,2,22,2,166,1,1,0,59,98,98
2035,73,533,8552,2,25,5,877,2,0,0,68,88,88
2030,6216,891,6555,2,27,5,609,1,0,0,54,103,103
2031,4227,1560,4324,2,19,2,372,2,0,0,79,100,100
2033,6620,1476,8660,2,24,5,192,2,0,0,75,105,105
2029,3343,1340,5791,2,21,2,424,1,1,0,61,95,95
2041,1088,354,178,2,23,5,398,1,1,0,63,91,91
7849,1808,775,5347,2,29,1,166,1,0,0,47,92,92
2032,4873,661,4289,2,20,2,823,3,0,0,88,101,101
2039,7032,626,5449,2,23,5,505,2,0,0,75,106,106
2044,4758,345,7394,24,24,5,392,1,0,0,62,464,464
2059,6249,104,7402,24,26,5,228,2,0,0,88,469,469
2048,1517,1219,1869,24,26,5,737,2,1,0,79,457,457
2054,6749,1349,6979,24,20,2,589,1,1,0,67,470,470
2056,7067,760,3957,24,23,5,355,1,0,0,61,472,472
2060,3418,1293,7376,24,16,0,86,1,0,0,66,459,459
2042,665,1334,7390,24,28,1,851,2,0,0,77,454,454
2058,6255,1222,7397,24,25,5,252,1,1,0,61,468,468
2045,4799,1311,7360,24,21,2,740,1,0,0,63,465,465
2052,988,36,4327,24,25,5,595,2,0,0,84,455,455
2047,7216,1033,3864,24,27,5,678,3,0,0,94,473,473
2051,6165,314,7396,24,23,5,265,0,1,0,54,467,467
8352,6814,720,7414,82,26,5,99,1,1,0,59,471,471
2046,2975,1512,7385,94,25,5,689,3,0,0,92,458,458
2043,4588,190,7395,24,24,5,610,1,0,0,62,463,463
2057,1045,311,3964,24,28,1,249,1,1,0,55,456,456
2050,4956,1407,1873,24,23,5,750,2,0,0,75,466,466
2053,3648,1124,1868,24,24,5,300,2,0,0,84,460,460
2055,4156,1344,7374,24,17,0,481,2,1,0,71,461,461
2049,4229,702,5380,24,23,5,420,2,0,0,79,462,462
5064,983,1419,3871,50,26,5,942,3,0,0,79,790,790
5592,391,1673,8566,50,25,5,364,3,0,0,92,788,788
2063,1822,740,3511,50,18,2,892,3,0,0,81,795,795
5065,2312,1426,3471,50,25,5,693,3,0,0,71,796,796
5066,4053,935,7217,50,27,5,780,3,0,0,84,801,801
2068,6008,1426,4268,50,26,5,726,3,0,0,77,803,803
5062,5357,936,1059,50,28,1,687,2,0,0,61,802,802
2062,3155,1056,2420,50,20,2,807,2,0,0,66,798,798
2064,1025,830,3512,50,31,1,408,3,0,0,73,791,791
2070,6467,1685,8616,50,30,1,599,3,0,0,81,360,360
2066,530,1072,217,50,28,1,280,2,0,0,66,789,789
2065,1702,897,2935,50,27,5,577,3,0,0,92,794,794
5069,3671,1690,3540,50,29,1,302,2,0,0,66,799,799
5063,6081,1342,3870,50,21,2,722,3,0,0,73,804,804
2067,6594,682,3898,50,29,1,521,3,0,0,73,805,805
2061,2351,932,6219,50,21,2,549,2,0,0,63,797,797
5068,1266,934,4510,50,25,5,407,2,0,0,66,793,793
5071,6594,682,4459,50,27,5,323,3,0,0,73,806,806
5067,1087,332,8603,50,26,5,265,2,0,0,66,792,792
2069,3659,897,6456,50,20,2,492,3,0,0,81,800,800
4313,4229,389,4952,56,23,5,341,2,0,0,66,886,886
7934,3302,345,2415,56,22,2,69,1,0,0,55,882,882
4308,3333,1347,4905,56,20,2,238,2,0,0,77,883,883
4302,6069,1360,7474,56,26,5,334,3,0,0,81,889,889
6263,4765,1386,5552,56,24,5,152,0,0,0,36,888,888
4306,1184,441,260,56,22,2,481,1,0,0,63,876,876
4303,1161,454,559,56,21,2,214,2,0,0,66,875,875
4301,6557,1433,7189,56,21,2,209,3,0,0,92,890,890
4314,7242,401,8110,56,26,5,171,1,0,0,55,893,893
4305,3191,1334,3912,56,24,5,100,2,0,0,67,881,881
4300,8,1334,7477,56,23,5,406,3,0,0,81,874,874
4304,4027,412,2180,56,22,2,422,1,0,0,63,885,885
4309,6890,1547,3947,56,24,5,181,2,0,0,73,891,891
4307,7192,1334,167,56,23,5,398,2,0,0,75,892,892
4310,4000,940,4967,56,25,5,304,2,0,0,71,884,884
4299,4443,1519,1797,56,23,5,476,2,0,0,67,887,887
4312,1264,183,8406,56,26,5,87,1,0,0,50,878,878
4316,2493,1224,1965,56,14,0,26,1,0,0,62,879,879
4311,1190,401,2702,56,21,2,69,1,0,0,62,877,877
4315,2951,1046,5703,56,24,5,37,3,0,0,91,880,880
4321,214,1279,6464,88,20,2,162,2,0,0,55,1263,1263
4326,5483,1189,5583,88,22,2,218,0,0,0,20,1275,1275
4318,666,1311,5932,88,21,2,164,3,0,0,73,1265,1265
4332,6040,1499,5275,88,19,2,91,3,0,0,71,1277,1277
4336,6494,332,6364,88,16,0,15,2,0,0,61,1279,1279
4331,665,1447,1645,88,21,2,117,3,0,0,81,1264,1264
4334,5965,1311,8611,88,16,0,33,3,0,0,71,1276,1276
4333,3812,1033,2002,88,13,0,25,2,0,0,66,1273,1273
4317,1829,1353,5824,88,17,0,162,2,0,0,61,1267,1267
4328,11,830,7678,88,18,2,80,1,0,0,50,1262,1262
4319,5358,1334,6745,88,18,2,166,2,0,0,55,1274,1274
4325,7171,1311,6778,88,19,2,125,2,0,0,61,1280,1280
4330,1342,332,7899,88,17,0,86,0,0,0,27,1266,1266
4329,2093,1189,6691,88,21,2,76,1,0,0,50,1268,1268
4320,2246,498,2366,88,17,0,177,2,0,0,63,1270,1270
4335,7295,1311,2367,88,17,0,24,2,0,0,66,1281,1281
4324,2170,1311,3956,88,18,2,140,2,0,0,66,1269,1269
4327,3034,1339,7448,88,17,0,71,2,0,0,68,1272,1272
4323,6431,395,3956,88,19,2,86,1,0,0,50,1278,1278
4322,3027,1195,6930,88,18,2,77,1,0,0,50,1271,1271
1937,665,1339,1636,71,22,2,80,2,0,0,79,1085,1085
1928,861,1062,1278,71,25,5,217,2,0,0,79,1088,1088
1923,282,1519,5805,71,29,1,196,1,0,0,66,1084,1084
1932,4589,347,7341,71,25,5,210,1,0,0,66,1098,1098
1930,6890,1295,7334,71,27,5,325,2,0,0,75,1102,1102
1925,865,1059,743,71,24,5,178,2,0,0,81,1089,1089
1921,2989,656,7336,71,25,5,261,1,0,0,66,1093,1093
8012,4954,1519,1688,71,22,2,41,2,0,0,77,1099,1099
1929,4229,332,1503,71,20,2,153,1,0,0,66,1096,1096
8868,2896,1339,8844,71,18,2,17,2,0,0,81,1092,1092
1933,3546,1200,5675,71,26,5,87,3,0,0,92,1095,1095
1934,6477,1406,2125,71,22,2,154,2,0,0,81,1101,1101
1920,3144,1334,7327,71,24,5,191,2,0,0,79,1094,1094
1935,710,381,7335,71,27,5,138,2,0,0,73,6,6
1926,677,1389,4912,71,22,2,109,0,0,0,50,1086,1086
1927,678,1353,8820,71,19,2,93,1,0,0,66,1087,1087
1924,4461,1648,7379,71,21,2,156,2,0,0,75,1097,1097
1931,6033,1339,6499,71,18,2,116,2,0,0,71,1100,1100
1936,2087,803,2378,71,21,2,53,2,0,0,84,1090,1090
1922,2108,1631,7330,71,19,2,86,1,0,0,63,1091,1091
4344,665,1311,1639,52,32,1,658,3,0,0,81,810,810
6034,6912,724,7152,52,26,5,233,1,0,0,63,825,825
7748,6896,473,1041,52,24,5,124,1,0,0,55,824,824
4352,986,669,2371,52,25,5,110,2,0,0,79,812,812
7845,6441,332,7151,52,30,1,126,1,0,0,61,821,821
4351,6885,598,2372,52,27,5,129,2,0,0,77,823,823
4338,7373,498,995,52,19,2,327,2,0,0,66,827,827
4346,6553,371,6428,52,24,5,179,2,0,0,67,822,822
7987,966,372,6641,52,23,5,28,1,0,0,55,811,811
4341,6386,1429,2757,52,22,2,358,2,0,0,79,820,820
4345,4229,421,3510,52,29,1,390,2,0,0,66,817,817
4342,1744,589,6656,52,24,5,304,2,0,0,65,815,815
4340,57,550,6811,52,19,2,142,0,0,0,43,809,809
4349,1220,703,2312,52,25,5,99,1,0,0,55,813,813
4337,5710,675,2016,52,23,5,256,2,0,0,71,818,818
4350,7080,1406,1009,52,27,5,222,3,0,0,85,826,826
4343,1669,498,8937,52,26,5,366,1,0,0,61,814,814
9415,2311,128,6860,52,24,5,25,1,0,0,55,816,816
4339,6107,332,4281,52,24,5,290,1,0,0,55,819,819
4347,7437,653,6733,52,26,5,96,1,0,0,63,828,828
4355,3981,1334,1219,5,17,0,344,1,0,0,63,163,163
4360,758,1449,6447,5,18,2,446,1,0,0,55,151,151
4361,6704,1595,6824,5,22,2,206,0,0,0,32,167,167
4365,990,1311,5309,5,21,2,276,1,0,0,55,155,155
4364,1385,1311,8089,5,22,2,151,0,0,0,43,157,157
4367,3397,830,7630,5,24,5,140,0,0,0,27,160,160
4362,702,1311,6761,5,21,2,192,1,0,0,55,150,150
4370,991,1311,6982,5,21,2,71,1,0,0,50,154,154
4357,3673,856,7409,5,18,2,111,1,0,0,50,162,162
4368,2807,1239,6508,5,24,5,104,0,0,0,20,159,159
4359,557,1449,6447,5,20,2,94,1,0,0,55,149,149
4356,1810,1519,4338,5,17,0,122,2,0,0,66,158,158
4358,6178,1311,8191,5,18,2,96,2,0,0,71,166,166
4369,976,1758,4337,5,19,2,56,0,0,0,27,153,153
4366,5844,1565,6800,5,17,0,44,1,0,0,61,165,165
4354,6890,1525,248,5,17,0,98,2,0,0,75,168,168
4363,1003,1311,6478,5,18,2,91,0,0,0,43,156,156
4372,929,348,7332,5,17,0,26,1,0,0,55,152,152
4371,5514,1334,6107,5,19,2,51,1,0,0,63,164,164
5934,206,231,4529,5,23,5,52,0,0,0,20,148,148
4381,7095,202,329,62,17,0,49,1,0,0,47,989,989
4383,4330,192,751,62,22,2,97,1,0,0,55,985,985
7662,3801,914,8699,62,23,5,24,2,0,0,71,983,983
4373,328,552,333,62,19,2,106,2,0,0,67,974,974
4379,3042,519,2114,62,16,0,148,1,0,0,59,982,982
4374,7183,531,8706,62,20,2,160,3,0,0,81,9501,9501
6810,7117,376,604,62,22,2,127,0,0,0,0,991,991
4384,7272,1334,8676,62,22,2,113,3,0,0,104,992,992
4380,2817,1311,5492,62,22,2,97,1,0,0,50,981,981
4386,2154,771,8714,62,24,5,87,1,0,0,55,980,980
7908,665,1543,750,62,23,5,41,2,0,0,79,977,977
4388,488,1002,3003,62,19,2,34,0,0,0,0,976,976
4385,5423,1334,5627,62,23,5,54,3,0,0,81,986,986
4375,3807,1449,678,62,24,5,158,2,0,0,71,984,984
4378,2038,1510,7063,62,26,5,155,3,0,0,81,979,979
4376,1546,498,7221,62,22,2,86,3,0,0,81,978,978
8041,7102,421,8524,62,18,2,43,1,0,0,61,990,990
4382,443,830,2795,62,24,5,171,1,0,0,47,975,975
4387,6893,1407,7220,62,16,0,51,2,0,0,66,988,988
4377,6260,1311,366,62,21,2,97,2,0,0,71,987,987
4399,6841,1713,2638,4,17,0,106,2,0,0,55,147,147
4402,1126,685,1362,4,19,2,59,3,0,0,71,131,131
4398,3325,54,6912,4,17,0,58,2,0,0,55,137,137
4392,3010,1449,1197,4,18,2,105,2,0,0,55,135,135
4389,5493,1732,1756,4,18,2,134,1,0,0,50,143,143
4400,698,401,8854,4,16,0,76,1,0,0,47,129,129
4393,6294,1334,847,4,15,0,151,2,0,0,55,145,145
4397,2176,1311,6945,4,20,2,105,0,0,0,32,133,133
4401,2020,1334,1094,4,17,0,99,2,0,0,61,132,132
4396,2514,1334,511,4,17,0,83,2,0,0,61,134,134
6890,6476,1360,6658,4,16,0,49,0,0,0,0,146,146
4404,4840,771,952,4,19,2,57,2,0,0,55,140,140
4403,6123,834,1187,4,17,0,32,1,0,0,50,144,144
4394,828,1600,1628,4,15,0,51,2,0,0,55,130,130
4405,4976,1100,1858,4,17,0,35,2,0,0,63,142,142
4395,455,1578,5481,4,17,0,57,2,0,0,55,128,128
5547,3029,1564,2542,4,17,0,18,2,0,0,61,136,136
4406,4939,1519,2412,4,15,0,6,2,0,0,66,141,141
4390,4316,1295,7480,4,16,0,58,2,0,0,66,139,139
4391,4091,830,8164,4,16,0,53,1,0,0,50,138,138
4408,3597,1343,1099,11,19,2,240,2,0,0,66,265,265
4411,771,1311,4839,11,20,2,89,1,0,0,54,255,255
4425,7350,1471,6510,11,16,0,71,1,0,0,55,271,271
4424,4254,1143,6837,11,18,2,21,0,0,0,43,268,268
4419,7456,654,5610,11,19,2,73,2,0,0,71,256,256
4417,4080,1068,1849,11,16,0,47,1,0,0,55,267,267
4423,3146,1733,7026,11,17,0,75,1,0,0,54,261,261
4426,2125,463,2593,11,15,0,8,1,0,0,50,258,258
4420,3354,1389,7188,11,16,0,76,1,0,0,54,262,262
4409,3933,1345,8912,11,17,0,94,3,0,0,88,266,266
4421,2721,1519,6460,11,16,0,74,1,0,0,61,259,259
4412,467,1720,1855,11,16,0,46,1,0,0,50,253,253
4422,2108,1623,2903,11,14,0,19,1,0,0,63,257,257
4410,4451,1311,7459,11,17,0,71,1,0,0,55,269,269
4415,3415,1281,3417,11,16,0,45,1,0,0,63,263,263
4413,354,1334,7534,11,16,0,63,1,0,0,61,252,252
4416,3022,1559,5313,11,17,0,46,1,0,0,47,260,260
4418,618,1051,7553,11,16,0,65,2,0,0,67,254,254
4407,3416,1279,4841,11,17,0,39,1,0,0,62,264,264
4414,6408,1189,6659,11,17,0,34,1,0,0,54,270,270
4432,8,1334,8710,16,23,5,257,2,0,0,71,298,298
4430,578,830,6543,16,24,5,103,1,0,0,55,300,300
9130,4829,863,7137,16,19,2,20,1,0,0,47,312,312
4440,1865,1639,864,16,19,2,111,1,0,0,55,305,305
4433,656,1389,3907,16,18,2,175,1,0,0,59,302,302
4438,3470,1311,3306,16,26,5,128,3,0,0,88,308,308
4436,4037,1590,538,16,27,5,243,1,0,0,50,309,309
4434,5492,830,141,16,32,1,419,0,0,0,36,314,314
4437,1488,498,416,16,23,5,103,2,0,0,71,304,304
4444,4085,332,2379,16,17,0,63,1,0,0,61,311,311
4443,3350,401,3374,16,21,2,98,1,0,0,61,307,307
5695,7215,178,8105,16,21,2,33,1,0,0,55,317,317
4439,6692,1334,312,16,22,2,126,1,0,0,63,315,315
