Cuisines,City,Rating_text,Price Range,Online Delivery,Table Booking,Average Cost for Two,cluster
649,63,5,2.0,0,0,700.0,0
380,63,5,2.0,0,0,800.0,0
1673,63,1,3.0,0,0,1000.0,0
580,63,5,2.0,0,0,650.0,0
1159,63,2,2.0,0,0,550.0,0
510,63,2,2.0,0,0,800.0,0
1162,63,2,1.0,0,0,400.0,0
1157,63,2,1.0,0,0,350.0,0
824,63,1,3.0,0,0,1500.0,0
1157,63,5,2.0,1,0,600.0,0
1161,63,2,2.0,0,0,600.0,0
1445,59,2,3.0,0,0,1650.0,0
711,59,5,3.0,0,0,1800.0,0
699,59,5,3.0,0,0,1000.0,0
415,59,1,2.0,1,0,750.0,0
1277,59,2,3.0,0,0,1500.0,0
1415,59,5,3.0,0,0,1500.0,0
462,59,5,2.0,1,0,650.0,0
1057,59,5,3.0,1,0,1300.0,0
459,59,5,2.0,1,0,800.0,0
1044,59,5,3.0,1,0,1400.0,0
626,59,5,2.0,0,0,700.0,0
1036,59,1,4.0,1,0,2000.0,0
413,59,2,3.0,1,0,1200.0,0
717,59,2,2.0,1,0,800.0,0
1418,59,0,3.0,0,0,1000.0,0
1350,59,1,4.0,0,0,2300.0,0
437,59,5,3.0,1,0,1000.0,0
499,59,5,4.0,0,0,2500.0,0
1651,59,5,3.0,0,0,1600.0,0
427,59,5,2.0,1,0,750.0,0
375,2,5,3.0,1,0,1000.0,0
1333,2,2,3.0,1,0,1000.0,0
1636,2,5,2.0,1,0,500.0,0
991,2,1,1.0,1,0,300.0,0
689,2,5,3.0,0,0,1200.0,0
1339,2,5,3.0,0,0,900.0,0
1067,2,5,2.0,1,0,700.0,0
1410,2,1,3.0,1,0,950.0,0
1433,2,5,3.0,0,0,800.0,0
1637,2,5,3.0,1,0,900.0,0
334,2,2,2.0,1,0,550.0,0
533,2,5,3.0,0,0,900.0,0
891,2,5,2.0,0,0,450.0,0
1560,2,2,3.0,0,0,1400.0,0
1476,2,5,3.0,0,0,1200.0,0
1340,2,2,2.0,1,0,600.0,0
354,2,5,2.0,1,0,700.0,0
775,2,1,2.0,0,0,350.0,0
661,2,2,4.0,0,0,1800.0,0
626,2,5,3.0,0,0,1200.0,0
345,24,5,2.0,0,0,650.0,0
104,24,5,3.0,0,0,1800.0,0
1219,24,5,3.0,1,0,1400.0,0
1349,24,2,2.0,1,0,850.0,0
760,24,5,2.0,0,0,600.0,0
1293,24,0,2.0,0,0,800.0,0
1334,24,1,3.0,0,0,1300.0,0
1222,24,5,2.0,1,0,600.0,0
1311,24,2,2.0,0,0,700.0,0
36,24,5,3.0,0,0,1600.0,0
1033,24,5,4.0,0,0,2200.0,0
314,24,5,1.0,1,0,450.0,0
720,82,5,2.0,1,0,550.0,0
1512,94,5,4.0,0,0,2000.0,0
190,24,5,2.0,0,0,650.0,0
311,24,1,2.0,1,0,500.0,0
1407,24,5,3.0,0,0,1200.0,0
1124,24,5,3.0,0,0,1600.0,0
1344,24,0,3.0,1,0,1000.0,0
702,24,5,3.0,0,0,1400.0,0
1419,50,5,4.0,0,0,1400.0,0
1673,50,5,4.0,0,0,2000.0,0
740,50,2,4.0,0,0,1500.0,0
1426,50,5,4.0,0,0,1000.0,0
935,50,5,4.0,0,0,1600.0,0
1426,50,5,4.0,0,0,1300.0,0
936,50,1,3.0,0,0,600.0,0
1056,50,2,3.0,0,0,800.0,0
830,50,1,4.0,0,0,1100.0,0
1685,50,1,4.0,0,0,1500.0,0
1072,50,1,3.0,0,0,800.0,0
897,50,5,4.0,0,0,2000.0,0
1690,50,1,3.0,0,0,800.0,0
1342,50,2,4.0,0,0,1100.0,0
682,50,1,4.0,0,0,1100.0,0
932,50,2,3.0,0,0,700.0,0
934,50,5,3.0,0,0,800.0,0
682,50,5,4.0,0,0,1100.0,0
332,50,5,3.0,0,0,800.0,0
897,50,2,4.0,0,0,1500.0,0
389,56,5,3.0,0,0,800.0,0
345,56,2,2.0,0,0,500.0,0
1347,56,2,3.0,0,0,1300.0,0
1360,56,5,4.0,0,0,1500.0,0
1386,56,5,1.0,0,0,250.0,0
441,56,2,2.0,0,0,700.0,0
454,56,2,3.0,0,0,800.0,0
1433,56,2,4.0,0,0,2000.0,0
401,56,5,2.0,0,0,500.0,0
1334,56,5,3.0,0,0,850.0,0
1334,56,5,4.0,0,0,1500.0,0
412,56,2,2.0,0,0,700.0,0
1547,56,5,3.0,0,0,1100.0,0
1334,56,5,3.0,0,0,1200.0,0
940,56,5,3.0,0,0,1000.0,0
1519,56,5,3.0,0,0,850.0,0
183,56,5,2.0,0,0,400.0,0
1224,56,0,2.0,0,0,650.0,0
401,56,2,2.0,0,0,650.0,0
1046,56,5,4.0,0,0,1950.0,0
1279,88,2,3.0,0,0,500.0,0
1189,88,2,1.0,0,0,100.0,0
1311,88,2,4.0,0,0,1100.0,0
1499,88,2,4.0,0,0,1000.0,0
332,88,0,3.0,0,0,600.0,0
1447,88,2,4.0,0,0,1500.0,0
1311,88,0,4.0,0,0,1000.0,0
1033,88,0,3.0,0,0,800.0,0
1353,88,0,3.0,0,0,600.0,0
830,88,2,2.0,0,0,400.0,0
1334,88,2,3.0,0,0,500.0,0
1311,88,2,3.0,0,0,600.0,0
332,88,0,1.0,0,0,150.0,0
1189,88,2,2.0,0,0,400.0,0
498,88,0,3.0,0,0,700.0,0
1311,88,0,3.0,0,0,800.0,0
1311,88,2,3.0,0,0,800.0,0
1339,88,0,3.0,0,0,900.0,0
395,88,2,2.0,0,0,400.0,0
1195,88,2,2.0,0,0,400.0,0
1339,71,2,3.0,0,0,1400.0,0
1062,71,5,3.0,0,0,1400.0,0
1519,71,1,2.0,0,0,800.0,0
347,71,5,2.0,0,0,800.0,0
1295,71,5,3.0,0,0,1200.0,0
1059,71,5,3.0,0,0,1500.0,0
656,71,5,2.0,0,0,800.0,0
1519,71,2,3.0,0,0,1300.0,0
332,71,2,2.0,0,0,800.0,0
1339,71,2,3.0,0,0,1500.0,0
1200,71,5,4.0,0,0,2000.0,0
1406,71,2,3.0,0,0,1500.0,0
1334,71,5,3.0,0,0,1400.0,0
381,71,5,3.0,0,0,1100.0,0
1389,71,2,1.0,0,0,400.0,0
1353,71,2,2.0,0,0,800.0,0
1648,71,2,3.0,0,0,1200.0,0
1339,71,2,3.0,0,0,1000.0,0
803,71,2,3.0,0,0,1600.0,0
1631,71,2,2.0,0,0,700.0,0
1311,52,1,4.0,0,0,1500.0,0
724,52,5,2.0,0,0,700.0,0
473,52,5,2.0,0,0,500.0,0
669,52,5,3.0,0,0,1400.0,0
332,52,1,2.0,0,0,600.0,0
598,52,5,3.0,0,0,1300.0,0
498,52,2,3.0,0,0,800.0,0
371,52,5,3.0,0,0,850.0,0
372,52,5,2.0,0,0,500.0,0
1429,52,2,3.0,0,0,1400.0,0
421,52,1,3.0,0,0,800.0,0
589,52,5,3.0,0,0,750.0,0
550,52,2,1.0,0,0,300.0,0
703,52,5,2.0,0,0,500.0,0
675,52,5,3.0,0,0,1000.0,0
1406,52,5,4.0,0,0,1650.0,0
498,52,5,2.0,0,0,600.0,0
128,52,5,2.0,0,0,500.0,0
332,52,5,2.0,0,0,500.0,0
653,52,5,2.0,0,0,700.0,0
1334,5,0,2.0,0,0,700.0,0
1449,5,2,2.0,0,0,500.0,0
1595,5,2,1.0,0,0,200.0,0
1311,5,2,2.0,0,0,500.0,0
1311,5,2,1.0,0,0,300.0,0
830,5,5,1.0,0,0,150.0,0
1311,5,2,2.0,0,0,500.0,0
1311,5,2,2.0,0,0,400.0,0
856,5,2,2.0,0,0,400.0,0
1239,5,5,1.0,0,0,100.0,0
1449,5,2,2.0,0,0,500.0,0
1519,5,0,3.0,0,0,800.0,0
1311,5,2,3.0,0,0,1000.0,0
1758,5,2,1.0,0,0,150.0,0
1565,5,0,2.0,0,0,600.0,0
1525,5,0,3.0,0,0,1200.0,0
1311,5,2,1.0,0,0,300.0,0
348,5,0,2.0,0,0,500.0,0
1334,5,2,2.0,0,0,700.0,0
231,5,5,1.0,0,0,100.0,0
202,62,0,2.0,0,0,350.0,0
192,62,2,2.0,0,0,500.0,0
914,62,5,3.0,0,0,1000.0,0
552,62,2,3.0,0,0,850.0,0
519,62,0,2.0,0,0,550.0,0
531,62,2,4.0,0,0,1500.0,0
376,62,2,1.0,0,0,20.0,0
1334,62,2,4.0,0,0,3000.0,0
1311,62,2,2.0,0,0,400.0,0
771,62,5,2.0,0,0,500.0,0
1543,62,5,3.0,0,0,1400.0,0
1002,62,2,1.0,0,0,20.0,0
1334,62,5,4.0,0,0,1500.0,0
1449,62,5,3.0,0,0,1000.0,0
1510,62,5,4.0,0,0,1500.0,0
498,62,2,4.0,0,0,1500.0,0
421,62,2,2.0,0,0,600.0,0
830,62,5,2.0,0,0,350.0,0
1407,62,0,3.0,0,0,800.0,0
1311,62,2,3.0,0,0,1000.0,0
1713,4,0,3.0,0,0,500.0,0
685,4,2,4.0,0,0,1000.0,0
54,4,0,3.0,0,0,500.0,0
1449,4,2,3.0,0,0,500.0,0
1732,4,2,2.0,0,0,400.0,0
401,4,0,2.0,0,0,350.0,0
1334,4,0,3.0,0,0,500.0,0
1311,4,2,1.0,0,0,200.0,0
1334,4,0,3.0,0,0,600.0,0
1334,4,0,3.0,0,0,600.0,0
1360,4,0,1.0,0,0,20.0,0
771,4,2,3.0,0,0,500.0,0
834,4,0,2.0,0,0,400.0,0
1600,4,0,3.0,0,0,500.0,0
1100,4,0,3.0,0,0,700.0,0
1578,4,0,3.0,0,0,500.0,0
1564,4,0,3.0,0,0,600.0,0
1519,4,0,3.0,0,0,800.0,0
1295,4,0,3.0,0,0,800.0,0
830,4,0,2.0,0,0,400.0,0
1343,11,2,3.0,0,0,800.0,0
1311,11,2,2.0,0,0,450.0,0
1471,11,0,2.0,0,0,500.0,0
1143,11,2,1.0,0,0,300.0,0
654,11,2,3.0,0,0,1000.0,0
1068,11,0,2.0,0,0,500.0,0
1733,11,0,2.0,0,0,450.0,0
463,11,0,2.0,0,0,400.0,0
1389,11,0,2.0,0,0,450.0,0
1345,11,0,4.0,0,0,1800.0,0
1519,11,0,2.0,0,0,600.0,0
1720,11,0,2.0,0,0,400.0,0
1623,11,0,2.0,0,0,700.0,0
1311,11,0,2.0,0,0,500.0,0
1281,11,0,2.0,0,0,700.0,0
1334,11,0,2.0,0,0,600.0,0
1559,11,0,2.0,0,0,350.0,0
1051,11,0,3.0,0,0,850.0,0
1279,11,0,2.0,0,0,650.0,0
1189,11,0,2.0,0,0,450.0,0
1334,16,5,3.0,0,0,1000.0,0
830,16,5,2.0,0,0,500.0,0
863,16,2,2.0,0,0,350.0,0
1639,16,2,2.0,0,0,500.0,0
1389,16,2,2.0,0,0,550.0,0
1311,16,5,4.0,0,0,1800.0,0
1590,16,5,2.0,0,0,400.0,0
830,16,1,1.0,0,0,250.0,0
498,16,5,3.0,0,0,1000.0,0
332,16,0,2.0,0,0,600.0,0
401,16,2,2.0,0,0,600.0,0
178,16,2,2.0,0,0,500.0,0
1334,16,2,2.0,0,0,700.0,0
366,16,0,1.0,0,0,200.0,0
1590,16,5,2.0,0,0,400.0,0
1623,16,5,2.0,0,0,650.0,0
830,16,5,2.0,0,0,500.0,0
830,16,5,2.0,0,0,500.0,0
1086,16,2,3.0,0,0,900.0,0
1707,16,2,2.0,0,0,500.0,0
823,109,2,3.0,0,0,1000.0,0
1334,109,2,3.0,0,0,1000.0,0
1388,109,5,1.0,0,0,450.0,0
830,109,0,2.0,0,0,500.0,0
1564,109,2,3.0,0,0,1500.0,0
498,109,0,2.0,0,0,650.0,0
413,109,2,3.0,0,0,1000.0,0
1388,109,0,1.0,0,0,450.0,0
1623,109,2,2.0,0,0,700.0,0
1411,109,0,1.0,0,0,400.0,0
1406,109,0,4.0,0,0,2000.0,0
1731,109,2,1.0,0,0,400.0,0
732,109,2,3.0,0,0,1000.0,0
1758,109,2,1.0,0,0,200.0,0
1564,109,0,1.0,0,0,400.0,0
1334,109,0,2.0,0,0,650.0,0
442,109,0,2.0,0,0,500.0,0
1564,109,0,2.0,0,0,500.0,0
867,109,0,1.0,0,0,400.0,0
1334,109,0,3.0,0,0,1000.0,0
720,135,5,4.0,0,0,1700.0,0
1033,135,5,3.0,0,0,1400.0,0
1372,135,1,4.0,0,0,1600.0,0
1631,135,5,2.0,0,0,600.0,0
108,135,2,2.0,0,0,600.0,0
1326,135,2,1.0,0,0,300.0,0
402,135,2,3.0,0,0,1000.0,0
1631,135,1,2.0,0,0,600.0,0
323,135,5,2.0,0,0,600.0,0
1715,135,5,2.0,0,0,600.0,0
1283,135,2,2.0,0,0,500.0,0
107,135,2,2.0,0,0,600.0,0
88,135,2,4.0,0,0,1500.0,0
830,135,2,2.0,0,0,450.0,0
466,135,2,2.0,0,0,400.0,0
1730,135,5,1.0,0,0,300.0,0
245,135,5,2.0,0,0,450.0,0
830,135,2,2.0,0,0,500.0,0
749,135,2,2.0,0,0,600.0,0
593,135,5,3.0,0,0,1300.0,0
130,17,2,1.0,0,0,400.0,0
358,17,1,2.0,0,0,600.0,0
1339,17,5,2.0,0,0,900.0,0
1374,17,2,2.0,0,0,600.0,0
332,17,2,2.0,0,0,500.0,0
1552,17,5,1.0,0,0,300.0,0
488,17,2,2.0,0,0,500.0,0
870,17,2,2.0,0,0,500.0,0
364,17,2,1.0,0,0,450.0,0
498,17,5,2.0,0,0,550.0,0
1039,17,5,2.0,0,0,800.0,0
1284,17,2,2.0,0,0,500.0,0
551,17,2,1.0,0,0,450.0,0
1321,17,2,2.0,0,0,850.0,0
498,17,5,2.0,0,0,500.0,0
1334,17,2,1.0,0,0,450.0,0
332,17,5,1.0,0,0,400.0,0
550,17,5,2.0,0,0,900.0,0
498,17,5,3.0,0,0,1500.0,0
440,17,5,3.0,0,0,1400.0,0
1618,29,5,3.0,0,0,1200.0,0
1406,29,2,2.0,1,0,700.0,0
1446,29,5,3.0,0,0,1400.0,0
378,29,1,3.0,1,0,800.0,0
1623,29,2,2.0,1,0,600.0,0
1709,29,1,2.0,0,0,350.0,0
1396,29,5,2.0,0,0,700.0,0
1326,29,5,3.0,0,0,1400.0,0
830,29,5,2.0,0,0,500.0,0
1097,29,5,4.0,0,0,1500.0,0
498,29,5,3.0,1,0,1200.0,0
1711,29,2,2.0,0,0,600.0,0
401,29,5,2.0,1,0,600.0,0
676,29,2,2.0,0,0,450.0,0
1367,29,5,3.0,0,0,1000.0,0
1731,29,5,2.0,0,0,400.0,0
775,29,5,1.0,0,0,300.0,0
187,29,1,2.0,1,0,350.0,0
666,29,2,3.0,0,0,1200.0,0
332,29,2,2.0,1,0,400.0,0
1673,77,5,3.0,0,0,800.0,0
627,77,2,3.0,0,0,1000.0,0
1531,77,2,3.0,0,0,1000.0,0
1696,77,2,3.0,0,0,750.0,0
69,77,2,3.0,0,0,900.0,0
626,77,2,2.0,0,0,700.0,0
1486,77,2,2.0,0,0,700.0,0
1334,77,2,4.0,0,0,1600.0,0
371,77,2,2.0,0,0,500.0,0
901,77,2,3.0,0,0,800.0,0
1673,77,5,2.0,0,0,500.0,0
1730,77,2,2.0,0,0,700.0,0
515,77,2,3.0,0,0,1000.0,0
332,77,2,2.0,0,0,600.0,0
542,77,2,2.0,0,0,700.0,0
1731,77,2,2.0,0,0,500.0,0
1636,77,2,2.0,0,0,600.0,0
1519,77,2,4.0,0,0,1500.0,0
761,77,2,1.0,0,0,200.0,0
498,77,2,2.0,0,0,600.0,0
1544,129,5,3.0,0,0,1000.0,0
1428,129,5,3.0,0,0,1200.0,0
1334,129,2,2.0,0,0,600.0,0
332,129,5,2.0,0,0,600.0,0
1206,129,1,3.0,0,0,1300.0,0
1293,129,5,4.0,0,0,1500.0,0
1088,129,5,4.0,0,0,1500.0,0
1807,129,2,3.0,0,0,800.0,0
1519,129,2,3.0,0,0,800.0,0
401,129,2,2.0,0,0,400.0,0
1607,129,2,3.0,0,0,800.0,0
1033,129,5,3.0,0,0,1000.0,0
1311,129,2,3.0,0,0,1000.0,0
1707,129,1,2.0,0,0,400.0,0
332,129,5,2.0,0,0,700.0,0
660,129,2,3.0,0,0,800.0,0
946,129,5,2.0,0,0,600.0,0
1636,129,5,2.0,0,0,600.0,0
830,129,2,1.0,0,0,300.0,0
460,129,2,2.0,0,0,500.0,0
1446,87,1,4.0,0,0,1600.0,0
332,87,5,2.0,1,0,600.0,0
332,87,1,2.0,0,0,600.0,0
830,87,0,2.0,0,0,500.0,0
371,87,5,3.0,1,0,750.0,0
843,87,5,2.0,1,0,550.0,0
1482,87,5,3.0,1,0,1200.0,0
54,87,4,2.0,1,0,550.0,0
1683,87,5,3.0,0,0,1000.0,0
332,87,2,2.0,0,0,350.0,0
363,87,2,2.0,1,0,400.0,0
332,87,2,1.0,0,0,250.0,0
747,87,5,3.0,0,0,1100.0,0
1339,87,5,3.0,1,0,1300.0,0
498,87,2,3.0,0,0,1000.0,0
513,87,5,3.0,0,0,1000.0,0
679,87,2,1.0,0,0,250.0,0
1334,87,5,2.0,1,0,500.0,0
401,87,2,1.0,1,0,250.0,0
1519,87,5,2.0,1,0,550.0,0
1519,1,2,3.0,0,0,850.0,0
466,1,1,1.0,0,0,20.0,0
1449,1,5,2.0,0,0,700.0,0
1378,1,5,3.0,0,0,1000.0,0
530,1,5,3.0,0,0,1000.0,0
444,1,2,1.0,0,0,20.0,0
1519,1,2,3.0,0,0,900.0,0
1339,1,2,1.0,0,0,20.0,0
1100,1,5,2.0,0,0,700.0,0
1519,1,5,4.0,0,0,2500.0,0
1651,1,5,2.0,0,0,400.0,0
1519,1,2,2.0,0,0,700.0,0
1348,1,0,3.0,0,0,1100.0,0
1279,1,5,4.0,0,0,2500.0,0
1311,1,2,2.0,0,0,500.0,0
1722,1,5,2.0,0,0,550.0,0
1519,1,2,4.0,0,0,3600.0,0
1440,1,5,4.0,0,0,2000.0,0
1339,1,2,4.0,0,0,1500.0,0
1652,1,2,3.0,0,0,800.0,0
1503,35,5,4.0,0,0,1600.0,0
609,35,5,3.0,0,0,750.0,0
456,35,5,3.0,0,0,500.0,0
1334,35,2,3.0,0,0,550.0,0
1293,35,5,4.0,0,0,1250.0,0
1311,35,1,4.0,0,0,1500.0,0
178,35,5,2.0,0,0,350.0,0
1339,35,2,4.0,0,0,1000.0,0
784,35,2,3.0,0,0,650.0,0
332,35,5,3.0,0,0,600.0,0
1519,35,2,3.0,0,0,600.0,0
1334,35,5,4.0,0,0,1200.0,0
306,35,2,3.0,0,0,600.0,0
359,35,2,3.0,0,0,700.0,0
555,35,5,1.0,0,0,20.0,0
362,35,5,3.0,0,0,500.0,0
332,35,2,2.0,0,0,400.0,0
1731,35,2,3.0,0,0,500.0,0
332,35,5,3.0,0,0,500.0,0
1334,35,2,3.0,0,0,800.0,0
1318,86,2,2.0,0,0,500.0,0
754,86,2,2.0,0,0,650.0,0
1360,86,2,3.0,0,0,900.0,0
1636,86,5,2.0,0,0,700.0,0
1446,86,5,4.0,0,0,1600.0,0
377,86,2,2.0,0,0,700.0,0
1099,86,2,2.0,0,0,650.0,0
1033,86,2,3.0,0,0,800.0,0
661,86,0,4.0,0,0,1500.0,0
1707,86,5,1.0,0,0,300.0,0
1411,86,2,3.0,0,0,1000.0,0
1386,86,2,2.0,0,0,650.0,0
745,86,2,4.0,0,0,1700.0,0
589,86,2,2.0,0,0,550.0,0
1320,86,2,3.0,0,0,1000.0,0
106,86,0,1.0,0,0,290.0,0
1334,86,2,2.0,0,0,500.0,0
1311,86,2,2.0,0,0,700.0,0
1386,86,2,2.0,0,0,400.0,0
897,86,2,3.0,0,0,1200.0,0
208,106,5,2.0,0,0,400.0,0
1468,106,2,4.0,0,0,1500.0,0
626,106,2,4.0,0,0,1500.0,0
759,106,5,2.0,0,0,300.0,0
332,106,0,2.0,0,0,450.0,0
332,106,2,3.0,0,0,800.0,0
332,106,2,3.0,0,0,550.0,0
920,106,2,4.0,0,0,1400.0,0
1311,106,2,3.0,0,0,800.0,0
601,106,2,4.0,0,0,1500.0,0
1558,106,2,4.0,0,0,1500.0,0
1033,106,2,3.0,0,0,900.0,0
1636,106,2,4.0,0,0,1000.0,0
931,106,2,4.0,0,0,1200.0,0
759,106,5,1.0,0,0,150.0,0
736,106,0,4.0,0,0,1200.0,0
767,106,2,2.0,0,0,250.0,0
1636,106,2,3.0,0,0,600.0,0
371,106,2,3.0,0,0,700.0,0
178,106,2,1.0,0,0,150.0,0
562,121,2,3.0,0,0,900.0,0
1707,121,5,2.0,0,0,500.0,0
1276,121,0,4.0,0,0,1500.0,0
